PI,TAMU_ID,Plot_ID,Panel_Identifier,Tannins,Protein,Starch,Fiber,Ash,Fat,Moisture,Phenols,X3_Deoxy,Sum,Comments,country,Race,Color,Rep,Year,Env
PI152651,SCU0013,120,SAP59,14.13,10.36,69.24,1.55,1.09,2.34,6.15,8.3,19.74,90.73,,Sudan,NA,WHITE,1,2012,Texas
PI152651,SCU0446,932,SAP59,-1.16,11.65,67.28,1.62,0.99,3.25,2.66,7.13,89.36,87.44,,Sudan,NA,WHITE,2,2012,Texas
PI17548,SCU0126,323,SAP102,20.36,12,67.86,1.54,0.93,3.66,4.13,13.54,13.66,90.13,,Australia,bicolor,BROWN,1,2012,Texas
PI17548,SCU0379,793,SAP102,24.12,13.3,66.82,1.44,0.96,3.64,5.24,14.47,18.2,91.4,,Australia,bicolor,BROWN,2,2012,Texas
PI186570,SCU0570,1251,DRAP11,50.16,19.03,62.09,1.66,0.96,4.78,5.58,24.49,102.96,94.11,"High Tannin, Phenol",Nigeria,bicolor,BROWN,2,2012,Texas
PI208573,SCU0113,305,DRAP5,17.67,16.66,64.64,1.53,0.96,4.69,3.95,15.26,-11.54,92.43,Low 3DOA,India,bicolor,BROWN,1,2012,Texas
PI208573,SCU0595,1306,DRAP5,22.9,18.42,63.23,1.4,0.93,4.78,3.66,17,0.49,92.41,,India,bicolor,BROWN,2,2012,Texas
PI213900,SCU0563,1241,DRAP50,29.7,17.77,62.79,1.55,0.96,3.95,6.26,14.63,7.56,93.27,,Kenya,bicolor,BROWN,2,2012,Texas
PI213900,SCU0252,532,DRAP50,33.25,17.57,62.65,1.99,0.86,3.91,7,18.4,78.91,93.98,,Kenya,bicolor,BROWN,1,2012,Texas
PI221537,SCU0124,319,DRAP51,14.04,10.24,66.75,1.48,1.16,2.65,7.41,9.98,24.66,89.68,,Nigeria,caudatum,BROWN,1,2012,Texas
PI221539,SCU0080,247,DRAP18,17.62,11.62,67.58,1.46,1.18,3.29,8.07,11.42,29.33,93.2,,Nigeria,guineacaudatum,MIXED,1,2012,Texas
PI221548,SCU0515,1108,DRAP2,9.72,7.84,68.73,1.44,1.17,1.68,8.79,7.87,21.91,89.64,,Nigeria,kafir,MIXED,2,2012,Texas
